"year","island","island_olelo","county","county_olelo","species_group","ecosystem_type","exchange_value","exchange_value_formatted"
2005,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","All Ecosystems",300588.77101082925,"$300,589"
2005,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Inshore — Reef",300588.77101082925,"$300,589"
2005,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2005,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","All Ecosystems",73724.19430652258,"$73,724"
2005,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Inshore — Reef",73724.19430652258,"$73,724"
2005,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2005,"Lanai","Lānaʻi","Maui","Maui","Herbivores","All Ecosystems",8315.04691017696,"$8,315"
2005,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Inshore — Reef",8315.04691017696,"$8,315"
2005,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2005,"Maui","Maui","Maui","Maui","Herbivores","All Ecosystems",131057.17653438573,"$131,057"
2005,"Maui","Maui","Maui","Maui","Herbivores","Inshore — Reef",131057.17653438573,"$131,057"
2005,"Maui","Maui","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2005,"Molokai","Molokaʻi","Maui","Maui","Herbivores","All Ecosystems",71245.35504390174,"$71,245"
2005,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Inshore — Reef",71245.35504390174,"$71,245"
2005,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2005,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","All Ecosystems",316375.55467450985,"$316,376"
2005,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Inshore — Reef",316375.55467450985,"$316,376"
2005,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Coastal — Open Ocean",0,"$0"
2006,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","All Ecosystems",479514.304195291,"$479,514"
2006,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Inshore — Reef",479514.304195291,"$479,514"
2006,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2006,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","All Ecosystems",117619.03022965204,"$117,619"
2006,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Inshore — Reef",117619.03022965204,"$117,619"
2006,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2006,"Lanai","Lānaʻi","Maui","Maui","Herbivores","All Ecosystems",13259.726998305016,"$13,260"
2006,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Inshore — Reef",13259.726998305016,"$13,260"
2006,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2006,"Maui","Maui","Maui","Maui","Herbivores","All Ecosystems",208992.4928610701,"$208,992"
2006,"Maui","Maui","Maui","Maui","Herbivores","Inshore — Reef",208992.4928610701,"$208,992"
2006,"Maui","Maui","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2006,"Molokai","Molokaʻi","Maui","Maui","Herbivores","All Ecosystems",113612.58306591387,"$113,613"
2006,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Inshore — Reef",113612.58306591387,"$113,613"
2006,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2006,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","All Ecosystems",504271.8953593466,"$504,272"
2006,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Inshore — Reef",504271.8953593466,"$504,272"
2006,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Coastal — Open Ocean",0,"$0"
2007,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","All Ecosystems",386309.3728236365,"$386,309"
2007,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Inshore — Reef",386309.3728236365,"$386,309"
2007,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2007,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","All Ecosystems",94767.90860470774,"$94,768"
2007,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Inshore — Reef",94767.90860470774,"$94,768"
2007,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2007,"Lanai","Lānaʻi","Maui","Maui","Herbivores","All Ecosystems",10677.33705331817,"$10,677"
2007,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Inshore — Reef",10677.33705331817,"$10,677"
2007,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2007,"Maui","Maui","Maui","Maui","Herbivores","All Ecosystems",168290.28894607603,"$168,290"
2007,"Maui","Maui","Maui","Maui","Herbivores","Inshore — Reef",168290.28894607603,"$168,290"
2007,"Maui","Maui","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2007,"Molokai","Molokaʻi","Maui","Maui","Herbivores","All Ecosystems",91486.03459542854,"$91,486"
2007,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Inshore — Reef",91486.03459542854,"$91,486"
2007,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2007,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","All Ecosystems",405811.3041324701,"$405,811"
2007,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Inshore — Reef",405811.3041324701,"$405,811"
2007,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Coastal — Open Ocean",0,"$0"
2008,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","All Ecosystems",340139.3721046048,"$340,139"
2008,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Inshore — Reef",340139.3721046048,"$340,139"
2008,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2008,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","All Ecosystems",83452.13003184032,"$83,452"
2008,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Inshore — Reef",83452.13003184032,"$83,452"
2008,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2008,"Lanai","Lānaʻi","Maui","Maui","Herbivores","All Ecosystems",9396.387563980536,"$9,396"
2008,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Inshore — Reef",9396.387563980536,"$9,396"
2008,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2008,"Maui","Maui","Maui","Maui","Herbivores","All Ecosystems",148100.6706349292,"$148,101"
2008,"Maui","Maui","Maui","Maui","Herbivores","Inshore — Reef",148100.6706349292,"$148,101"
2008,"Maui","Maui","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2008,"Molokai","Molokaʻi","Maui","Maui","Herbivores","All Ecosystems",80510.54616499442,"$80,511"
2008,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Inshore — Reef",80510.54616499442,"$80,511"
2008,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2008,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","All Ecosystems",356885.32979219535,"$356,885"
2008,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Inshore — Reef",356885.32979219535,"$356,885"
2008,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Coastal — Open Ocean",0,"$0"
2009,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","All Ecosystems",245265.28418267524,"$245,265"
2009,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Inshore — Reef",245265.28418267524,"$245,265"
2009,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2009,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","All Ecosystems",60180.03245591532,"$60,180"
2009,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Inshore — Reef",60180.03245591532,"$60,180"
2009,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2009,"Lanai","Lānaʻi","Maui","Maui","Herbivores","All Ecosystems",6773.184871881074,"$6,773"
2009,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Inshore — Reef",6773.184871881074,"$6,773"
2009,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2009,"Maui","Maui","Maui","Maui","Herbivores","All Ecosystems",106755.19874310095,"$106,755"
2009,"Maui","Maui","Maui","Maui","Herbivores","Inshore — Reef",106755.19874310095,"$106,755"
2009,"Maui","Maui","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2009,"Molokai","Molokaʻi","Maui","Maui","Herbivores","All Ecosystems",58034.304098096974,"$58,034"
2009,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Inshore — Reef",58034.304098096974,"$58,034"
2009,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2009,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","All Ecosystems",257138.71938091813,"$257,139"
2009,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Inshore — Reef",257138.71938091813,"$257,139"
2009,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Coastal — Open Ocean",0,"$0"
2010,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","All Ecosystems",378892.4008672819,"$378,892"
2010,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Inshore — Reef",378892.4008672819,"$378,892"
2010,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2010,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","All Ecosystems",92967.9769770225,"$92,968"
2010,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Inshore — Reef",92967.9769770225,"$92,968"
2010,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2010,"Lanai","Lānaʻi","Maui","Maui","Herbivores","All Ecosystems",10463.284230927211,"$10,463"
2010,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Inshore — Reef",10463.284230927211,"$10,463"
2010,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2010,"Maui","Maui","Maui","Maui","Herbivores","All Ecosystems",164916.50659285317,"$164,917"
2010,"Maui","Maui","Maui","Maui","Herbivores","Inshore — Reef",164916.50659285317,"$164,917"
2010,"Maui","Maui","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2010,"Molokai","Molokaʻi","Maui","Maui","Herbivores","All Ecosystems",89651.97767498858,"$89,652"
2010,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Inshore — Reef",89651.97767498858,"$89,652"
2010,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2010,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","All Ecosystems",397224.8124995066,"$397,225"
2010,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Inshore — Reef",397224.8124995066,"$397,225"
